yearID,teamID,name,W,payroll
2009,DET,Detroit Tigers,86,115085145
2009,FLO,Florida Marlins,87,36834000
2009,HOU,Houston Astros,74,102996414
2009,KCA,Kansas City Royals,65,70519333
2009,LAA,Los Angeles Angels of Anaheim,97,113709000
2009,LAN,Los Angeles Dodgers,95,100414592
2009,MIL,Milwaukee Brewers,80,80182502
2009,MIN,Minnesota Twins,87,65299266
2009,NYA,New York Yankees,103,201449189
2009,NYN,New York Mets,70,149373987
2009,OAK,Oakland Athletics,75,61910000
2009,PHI,Philadelphia Phillies,93,113004046
2009,PIT,Pittsburgh Pirates,62,48693000
2009,SDN,San Diego Padres,75,43333700
2009,SEA,Seattle Mariners,85,98904166
2009,SFN,San Francisco Giants,88,83026450
2009,SLN,St. Louis Cardinals,91,88528409
2009,TBA,Tampa Bay Rays,84,63313034
2009,TEX,Texas Rangers,87,68178798
2009,TOR,Toronto Blue Jays,75,80538300
2009,WAS,Washington Nationals,59,59928000
2010,ARI,Arizona Diamondbacks,65,60718166
2010,ATL,Atlanta Braves,91,84423666
2010,BAL,Baltimore Orioles,66,81612500
2010,BOS,Boston Red Sox,89,162447333
2010,CHA,Chicago White Sox,88,105530000
2010,CHN,Chicago Cubs,75,146609000
2010,CIN,Cincinnati Reds,91,71761542
2010,CLE,Cleveland Indians,69,61203966
2010,COL,Colorado Rockies,83,84227000
2010,DET,Detroit Tigers,81,122864928
2010,FLO,Florida Marlins,80,57029719
2010,HOU,Houston Astros,76,92355500
2010,KCA,Kansas City Royals,67,71405210
2010,LAA,Los Angeles Angels of Anaheim,80,104963866
2010,LAN,Los Angeles Dodgers,80,95358016
2010,MIL,Milwaukee Brewers,77,81108278
2010,MIN,Minnesota Twins,94,97559166
2010,NYA,New York Yankees,95,206333389
2010,NYN,New York Mets,79,134422942
2010,OAK,Oakland Athletics,81,55254900
2010,PHI,Philadelphia Phillies,97,141928379
2010,PIT,Pittsburgh Pirates,57,34943000
2010,SDN,San Diego Padres,90,37799300
2010,SEA,Seattle Mariners,61,86510000
2010,SFN,San Francisco Giants,92,98641333
2010,SLN,St. Louis Cardinals,86,93540751
2010,TBA,Tampa Bay Rays,96,71923471
2010,TEX,Texas Rangers,90,55250544
2010,TOR,Toronto Blue Jays,85,62234000
2010,WAS,Washington Nationals,69,61400000
2011,ARI,Arizona Diamondbacks,94,53639833
2011,ATL,Atlanta Braves,89,87002692
2011,BAL,Baltimore Orioles,69,85304038
2011,BOS,Boston Red Sox,90,161762475
2011,CHA,Chicago White Sox,79,127789000
2011,CHN,Chicago Cubs,71,125047329
2011,CIN,Cincinnati Reds,79,75947134
2011,CLE,Cleveland Indians,80,48776566
2011,COL,Colorado Rockies,73,88148071
2011,DET,Detroit Tigers,95,105700231
2011,FLO,Florida Marlins,72,56944000
2011,HOU,Houston Astros,56,70694000
2011,KCA,Kansas City Royals,71,35712000
