yearID,teamID,name,W,payroll,Batting_WAR,Pitching_WAR,Total_WAR,Dollars_per_Win,Dollars_per_WAR,WAR_per_Million,Wins_per_100M
2002,ARI,Arizona Diamondbacks,98,102819999,19.66,26.503333332,46.163333332,1049183.663265306,2227308.8093646416,0.4489723184299973,95.31219699778444
2002,ATL,Atlanta Braves,101,92870367,21.794534159,25.178757764,46.973291926,919508.5841584158,1977088.749630419,0.5057941886457712,108.7537427304449
2002,BAL,Baltimore Orioles,67,60493487,16.095,10.91,27.005,902887.8656716418,2240084.688020737,0.44641169387375534,110.755724827038
2002,BOS,Boston Red Sox,93,108366060,28.755,23.093333335,51.848333335,1165226.4516129033,2090058.6967729577,0.4784554623006502,85.82022821536559
2002,CHA,Chicago White Sox,81,57052833,25.09,11.826666667,36.916666667,704355.9629629629,1545449.2008889802,0.6470610612272313,141.973668511781
2002,CHN,Chicago Cubs,67,75690833,14.67,12.873333333000001,27.543333333,1129713.9253731344,2748063.645198452,0.36389259096937143,88.51798473402981
2002,CIN,Cincinnati Reds,78,45050390,14.99,10.000000001,24.990000001000002,577569.1025641026,1802736.6946057326,0.5547121789844661,173.1394556184752
2002,CLE,Cleveland Indians,74,78909449,11.9,11.520000001,23.420000001,1066343.9054054054,3369318.9153130096,0.2967958881705029,93.7783762753178
2002,COL,Colorado Rockies,73,56851043,12.549999999999999,5.54,18.09,778781.4109589041,3142677.8883360974,0.3181999668853921,128.40573566961646
2002,DET,Detroit Tigers,55,55048000,1.801118012,6.671180123,8.472298132999999,1000872.7272727273,6497410.635915355,0.15390746499418687,99.91280337160298
2002,FLO,Florida Marlins,79,41979917,18.67,8.523333333,27.193333332999998,531391.3544303797,1543757.6734682983,0.6477700595024997,188.18522199555565
2002,HOU,Houston Astros,84,63448417,14.73,20.716666667,35.446666667,755338.2976190476,1789968.5066598647,0.5586690471253207,132.3910098497808
2002,KCA,Kansas City Royals,62,47257000,7.205,9.57333333,16.77833333,762209.6774193548,2816549.1214495976,0.3550444025223776,131.1974945510718
2002,LAN,Los Angeles Dodgers,92,94850953,24.509999999999998,16.583333333,41.093333333000004,1030988.6195652174,2308183.476657269,0.433241122342756,96.99428112229931
2002,MIL,Milwaukee Brewers,56,50287833,9.014999999999999,3.7666666669999995,12.781666667,897997.0178571428,3934372.121425626,0.2541701621344471,111.35894441902079
2002,MIN,Minnesota Twins,94,40425000,25.482298136,19.104596272,44.58689441,430053.1914893617,906656.553117847,1.1029534795299938,232.52937538651824
2002,MON,Montreal Expos,83,38670500,14.715,15.720000001,30.435000001000002,465909.6385542169,1270593.0671506294,0.7870340440645972,214.63389405360675
2002,NYA,New York Yankees,103,125928583,28.339937887,26.624347826,54.964285712,1222607.6019417476,2291098.326281111,0.4364718827337237,81.79239180353518
